provinsi_id,nama_provinsi,twp90_2025,scenario,delta_pred,twp90_2026_pred,pct_change
21,Kalimantan Selatan,0.0218416666666666,Stress_NPL_Up,-0.0022603809451797047,0.019581285721486895,-10.35
22,Sulawesi Utara,0.0181833333333333,Stress_NPL_Up,-0.0022603809451797047,0.015922952388153597,-12.43
23,Gorontalo,0.0159583333333333,Stress_NPL_Up,-0.0022603809451797047,0.013697952388153595,-14.16
24,Sulawesi Tengah,0.016375,Stress_NPL_Up,-0.0022603809451797047,0.014114619054820296,-13.8
25,Sulawesi Barat,0.0126249999999999,Stress_NPL_Up,-0.0022603809451797047,0.010364619054820196,-17.9
26,Sulawesi Selatan,0.0168583333333333,Stress_NPL_Up,-0.0022603809451797047,0.014597952388153597,-13.41
27,Sulawesi Tenggara,0.0148083333333333,Stress_NPL_Up,-0.0022603809451797047,0.012547952388153595,-15.26
28,Bali,0.0153916666666666,Stress_NPL_Up,-0.0022603809451797047,0.013131285721486896,-14.69
29,Nusa Tenggara Barat,0.0404083333333333,Stress_NPL_Up,-0.0022603809451797047,0.0381479523881536,-5.59
30,Nusa Tenggara Timur,0.0155333333333333,Stress_NPL_Up,-0.0022603809451797047,0.013272952388153595,-14.55
31,Maluku Utara,0.0078999999999999,Stress_NPL_Up,-0.0022603809451797047,0.0056396190548201955,-28.61
32,Maluku,0.0087499999999999,Stress_NPL_Up,-0.0022603809451797047,0.0064896190548201955,-25.83
1,Banten,0.0241166666666666,Optimistic_Recovery,0.0027057802324813216,0.02682244689914792,11.22
2,Dki Jakarta,0.0466833333333333,Optimistic_Recovery,0.0027057802324813216,0.04938911356581462,5.8
3,Jawa Barat,0.0335833333333333,Optimistic_Recovery,0.0027057802324813216,0.03628911356581462,8.06
4,Jawa Tengah,0.0282416666666666,Optimistic_Recovery,0.0027057802324813216,0.03094744689914792,9.58
5,Daerah Istimewa Yogyakarta,0.0286249999999999,Optimistic_Recovery,0.0027057802324813216,0.031330780232481224,9.45
6,Jawa Timur,0.0340666666666666,Optimistic_Recovery,0.0027057802324813216,0.03677244689914792,7.94
7,Aceh,0.01025,Optimistic_Recovery,0.0027057802324813216,0.012955780232481322,26.4
8,Sumatera Utara,0.018375,Optimistic_Recovery,0.0027057802324813216,0.02108078023248132,14.73
9,Sumatera Barat,0.0261083333333333,Optimistic_Recovery,0.0027057802324813216,0.02881411356581462,10.36
10,Riau,0.017275,Optimistic_Recovery,0.0027057802324813216,0.01998078023248132,15.66
11,Kepulauan Riau,0.0172499999999999,Optimistic_Recovery,0.0027057802324813216,0.01995578023248122,15.69
12,Kepulauan Bangka Belitung,0.01745,Optimistic_Recovery,0.0027057802324813216,0.02015578023248132,15.51
13,Jambi,0.0208499999999999,Optimistic_Recovery,0.0027057802324813216,0.02355578023248122,12.98
14,Sumatera Selatan,0.0285166666666666,Optimistic_Recovery,0.0027057802324813216,0.03122244689914792,9.49
15,Bengkulu,0.0194,Optimistic_Recovery,0.0027057802324813216,0.02210578023248132,13.95
16,Lampung,0.02775,Optimistic_Recovery,0.0027057802324813216,0.03045578023248132,9.75
17,Kalimantan Barat,0.0166083333333333,Optimistic_Recovery,0.0027057802324813216,0.01931411356581462,16.29
18,Kalimantan Tengah,0.0178833333333333,Optimistic_Recovery,0.0027057802324813216,0.02058911356581462,15.13
20,Kalimantan Timur,0.018125,Optimistic_Recovery,0.0027057802324813216,0.02083078023248132,14.93
21,Kalimantan Selatan,0.0218416666666666,Optimistic_Recovery,0.0027057802324813216,0.02454744689914792,12.39
22,Sulawesi Utara,0.0181833333333333,Optimistic_Recovery,0.0027057802324813216,0.02088911356581462,14.88
23,Gorontalo,0.0159583333333333,Optimistic_Recovery,0.0027057802324813216,0.01866411356581462,16.96
24,Sulawesi Tengah,0.016375,Optimistic_Recovery,0.0027057802324813216,0.01908078023248132,16.52
25,Sulawesi Barat,0.0126249999999999,Optimistic_Recovery,0.0027057802324813216,0.015330780232481222,21.43
26,Sulawesi Selatan,0.0168583333333333,Optimistic_Recovery,0.0027057802324813216,0.019564113565814622,16.05
27,Sulawesi Tenggara,0.0148083333333333,Optimistic_Recovery,0.0027057802324813216,0.017514113565814622,18.27
28,Bali,0.0153916666666666,Optimistic_Recovery,0.0027057802324813216,0.018097446899147922,17.58
29,Nusa Tenggara Barat,0.0404083333333333,Optimistic_Recovery,0.0027057802324813216,0.04311411356581463,6.7
30,Nusa Tenggara Timur,0.0155333333333333,Optimistic_Recovery,0.0027057802324813216,0.018239113565814622,17.42
31,Maluku Utara,0.0078999999999999,Optimistic_Recovery,0.0027057802324813216,0.010605780232481222,34.25
32,Maluku,0.0087499999999999,Optimistic_Recovery,0.0027057802324813216,0.011455780232481222,30.92
